Aerial,,,,Lateral,,,
t,x,y,frame,t,x,y,frame
116.11716,0.021769187,-0.028636482,7680,116.11716,0.044770339,-0.043809007,7680
116.45083,0.025419563,-0.041867526,7690,116.45083,0.054653304,-0.049897445,7690
116.7845,0.030445991,-0.03774077,7700,116.7845,0.049401147,-0.042030933,7700
117.11817,0.033928727,-0.029171536,7710,117.11817,0.045964189,-0.03612421,7710
117.45184,0.03229423,-0.02901088,7720,117.45184,0.044918838,-0.033124932,7720
117.78551,0.035659617,-0.028351493,7730,117.78551,0.044606209,-0.031757182,7730
118.11918,0.039121398,-0.026711408,7740,118.11918,0.044606209,-0.031757182,7740
118.45285,0.040396864,-0.027166832,7750,118.45285,0.04447725,-0.033081945,7750
118.78652,0.043306828,-0.027782912,7760,118.78652,0.044789878,-0.034449694,7760
119.12019,0.039979159,-0.031416524,7770,119.12019,0.045991544,-0.038132848,7770
119.45386,0.040702809,-0.034128113,7780,119.45386,0.047058388,-0.040911332,7780
119.78753,0.03867715,-0.034589125,7790,119.78753,0.047214702,-0.041595207,7790
120.1212,0.040440171,-0.033442183,7800,120.1212,0.046773115,-0.041552221,7800
120.45487,0.042664205,-0.0343209,7810,120.45487,0.047628935,-0.039629556,7810
120.78854,0.045016763,-0.033892019,7820,120.78854,0.049018177,-0.039096134,7820
121.12221,0.039459473,-0.033345789,7830,121.12221,0.049395285,-0.039801502,7830
121.45588,0.039491604,-0.03301889,7840,121.45588,0.04772077,-0.040975812,7840
121.78955,0.032910309,-0.026100916,7850,121.78955,0.038607652,-0.033847885,7850
122.12322,0.032647672,-0.025414986,7860,122.12322,0.035581018,-0.032884599,7860
122.45689,0.024904068,-0.026964266,7870,122.45689,0.033152287,-0.032648173,7870
122.79056,0.019378909,-0.026091137,7880,122.79056,0.031811892,-0.034969439,7880
123.12423,0.017262445,-0.030833973,7890,123.12423,0.032755639,-0.041302118,7890
123.4579,0.017798896,-0.038808083,7900,123.4579,0.036591199,-0.047693415,7900
123.79157,0.017097599,-0.049300995,7910,123.79157,0.039979309,-0.051812294,7910
124.12524,0.018774006,-0.035603351,7920,124.12524,0.041458432,-0.043486609,7920
124.45891,0.017659195,-0.03351343,7930,124.45891,0.041425215,-0.03924854,7930
124.79258,0.019877641,-0.031091022,7940,124.79258,0.042685499,-0.040039881,7940
125.12625,0.020172409,-0.031450052,7950,125.12625,0.042685499,-0.040039881,7950
125.45992,0.023736171,-0.032130394,7960,125.45992,0.044344383,-0.041315795,7960
125.79359,0.025011637,-0.032585818,7970,125.79359,0.043773836,-0.042597572,7970
126.12726,0.022198067,-0.03098904,7980,126.12726,0.041909789,-0.038849939,7980
126.46093,0.022031824,-0.029322412,7990,126.46093,0.039168429,-0.037245765,7990
126.7946,0.019416629,-0.029065363,8000,126.7946,0.036454424,-0.037650228,8000
127.12827,0.019416629,-0.029065363,8010,127.12827,0.038248129,-0.039830811,8010
127.46194,0.021678381,-0.032918306,8020,127.46194,0.042976634,-0.041628424,8020
127.79561,0.022101674,-0.031969738,8030,127.79561,0.044580808,-0.038887064,8030
128.12928,0.020166821,-0.028148927,8040,128.12928,0.044219332,-0.035731471,8040
128.46295,0.020166821,-0.028148927,8050,128.46295,0.042474474,-0.035338731,8050
